S.No.,filename,Length (cm),Original Length,ratio
351,DSC04756.JPG,22.6483333,4.95,4.575420869
352,DSC04757.JPG,22.30437497,5.3,4.208372636
353,DSC04758.JPG,21.80166664,5.3,4.113522008
354,DSC04759.JPG,20.47874997,5.6,3.656919638
355,DSC04760.JPG,20.02895831,5.6,3.576599698
356,DSC04761.JPG,21.80166664,5.4,4.037345674
357,DSC04762.JPG,23.2039583,5.4,4.297029315
358,DSC04763.JPG,23.3627083,5.21,4.484205048
359,DSC04764.JPG,24.81791664,5.21,4.76351567
360,DSC04765.JPG,20.90208331,4.98,4.197205484
361,DSC04766.JPG,20.45229164,4.98,4.106885871
362,DSC04767.JPG,22.14562497,5.4,4.101041661
363,DSC04768.JPG,21.14020831,5.4,3.914853391
364,DSC04769.JPG,21.82812497,5.52,3.954370466
365,DSC04770.JPG,22.27791664,5.52,4.035854464
366,DSC04771.JPG,23.2833333,5.14,4.529831381
367,DSC04772.JPG,23.23041664,5.14,4.519536311
368,DSC04773.JPG,21.37833331,4.88,4.380806006
369,DSC04774.JPG,20.90208331,4.88,4.283213793
370,DSC04775.JPG,22.27791664,5.21,4.275991678
371,DSC04776.JPG,22.27791664,5.21,4.275991678
372,DSC04777.JPG,20.92854164,5.61,3.730577832
373,DSC04778.JPG,21.82812497,5.61,3.890931367
374,DSC04779.JPG,19.92312497,5.35,3.723948593
375,DSC04780.JPG,19.55270831,5.35,3.654711834
376,DSC04781.JPG,21.37833331,5.46,3.915445661
377,DSC04782.JPG,21.40479164,5.46,3.920291509
378,DSC04783.JPG,22.27791664,5.49,4.057908313
379,DSC04784.JPG,22.30437497,5.49,4.062727681
380,DSC04785.JPG,19.10291664,4.77,4.004804327
381,DSC04786.JPG,19.10291664,4.77,4.004804327
382,DSC04787.JPG,20.92854164,5.22,4.009299165
383,DSC04788.JPG,21.03437497,5.22,4.029573749
384,DSC04789.JPG,24.57979164,5.5,4.469053025
385,DSC04790.JPG,22.17208331,5.5,4.031287875
386,DSC04792.JPG,20.47874997,4.72,4.338718214
387,DSC04793.JPG,20.00249997,4.72,4.23781779
388,DSC04794.JPG,20.02895831,5.28,3.793363316
389,DSC04795.JPG,20.00249997,5.28,3.788352267
390,DSC04796.JPG,20.50520831,5.83,3.517188389
391,DSC04797.JPG,20.45229164,5.83,3.508111774
392,DSC04798.JPG,20.90208331,5,4.180416662
393,DSC04799.JPG,20.45229164,5,4.090458328
394,DSC04800.JPG,19.12937498,5.1,3.750857839
395,DSC04801.JPG,19.10291664,5.1,3.745669929
396,DSC04802.JPG,20.45229164,4.88,4.191043369
397,DSC04803.JPG,20.92854164,4.88,4.288635582
398,DSC04804.JPG,21.82812497,5.22,4.181633136
399,DSC04805.JPG,22.27791664,5.22,4.267800123
400,DSC04806.JPG,21.40479164,5.31,4.031034207
401,DSC04807.JPG,21.40479164,5.31,4.031034207
402,DSC04808.JPG,22.93937497,4.84,4.739540283
403,DSC04809.JPG,23.17749997,4.84,4.788739663
404,DSC04810.JPG,21.82812497,4.91,4.445646633
405,DSC04811.JPG,22.25145831,4.91,4.531865236
406,DSC04812.JPG,23.15104164,5.3,4.368121064
407,DSC04813.JPG,23.17749997,5.3,4.373113202
408,DSC04814.JPG,21.80166664,5.38,4.052354394
409,DSC04815.JPG,21.82812497,5.38,4.057272299
410,DSC04816.JPG,19.57916664,5.36,3.652829597
411,DSC04817.JPG,20.92854164,5.36,3.904578664
412,DSC04818.JPG,18.97062498,5.39,3.519596471
413,DSC04819.JPG,19.12937498,5.39,3.549049161
