S.No.,Cocoon Weight (gm),Cocoon length(cm),mean width(cm),Cross sectional Area (cm2),Cocoon Volume (cm3),Shell Weight (gm),Category
96,8.31,4.75,2.74,18.91,22.6,1.25,Daba RC III
97,9.83,4.6,2.85,19.44,23.1,1.44,Daba RC II
98,11.3,4.82,3.06,22.1,27.7,1.33,Daba RC II
99,11,4.93,2.94,21.23,26.1,1.4,Daba RC II
100,7.55,4.9,2.82,20.06,24.3,1.34,Daba RC II
101,6.27,4.65,2.78,18.95,22.2,1.87,Daba RC I
102,8.76,4.62,2.82,19.23,23.3,1.5,Daba RC II
103,8.65,4.75,2.9,20.38,20.8,0.86,Other
104,9.96,5.25,3.09,23.67,29.7,1.66,Daba RC I
105,13.12,5.88,3.17,26.53,33.5,1.7,Daba RC I
106,10.01,4.99,3.03,22.33,26.3,1.75,Daba RC I
107,10.16,4.91,3.09,22.67,23.7,1.16,Daba RC III
108,13.28,5.18,3.35,26.11,32.9,1.92,Daba RC I
109,10.73,5.08,3.04,22.7,30.7,1.41,Daba RC II
110,8.67,4.79,2.91,20.54,24.3,1.35,Daba RC II
111,11.94,5.45,3.07,24.08,30.3,1.48,Daba RC II
112,11.03,5.3,3.16,24.59,34,1.39,Daba RC II
113,11.94,5.38,3.3,26.3,32.1,1.54,Daba RC II
114,12.69,5.31,3.29,25.97,30.6,1.75,Daba RC I
115,10.65,5.38,3.28,26.04,30.2,1.61,Daba RC I
116,10.84,5.15,3.05,23.01,28.3,1.67,Daba RC I
117,12.52,5.41,3.18,25.14,31.1,1.66,Daba RC I
118,13.56,5.41,3.2,25.35,33.6,1.71,Daba RC I
119,11.33,5.22,3.05,23.22,30.1,1.39,Daba RC II
120,10.16,4.91,3.1,22.76,29.1,1.73,Daba RC I
121,14.62,5.85,3.49,29.92,43.4,1.98,Daba RC I
122,11.91,5.18,3.17,24.31,30.3,1.64,Daba RC I
123,12.6,5.42,3.37,27.13,37.2,1.58,Daba RC I
124,9.65,4.88,2.97,21.42,27.7,1.36,Daba RC II
125,10.58,5.09,2.98,22.14,27.2,1.4,Daba RC II
126,11.64,4.91,3.24,24.15,29.4,1.53,Daba RC II
127,10.35,5.2,3.16,24.27,29,1.43,Daba RC II
128,8.26,4.8,2.84,19.92,22.1,1.47,Daba RC II
129,15.92,5.7,3.34,27.74,36.2,2.44,Daba RC Super
130,7.82,5.48,3.21,25.63,34.1,1.96,Daba RC I
131,14.61,5.51,3.23,25.99,31.7,1.88,Daba RC I
132,6.57,4.79,2.75,19.06,23.8,1.31,Daba RC II
133,13.05,5.48,3.24,26,31.6,1.7,Daba RC I
134,11.59,5.21,3.2,24.66,32.7,1.68,Daba RC I
135,8.52,4.78,2.95,20.93,28.1,1.33,Daba RC II
136,8.75,5.18,2.82,20.8,27.4,1.47,Daba RC II
137,10.2,4.69,2.97,20.81,25.6,1.49,Daba RC II
138,13.31,5.21,3.12,23.85,34.7,1.7,Daba RC I
139,12.2,5.31,3.12,24.21,32.1,1.66,Daba RC I
140,8.21,4.68,2.87,19.9,23.9,1.27,Daba RC II
141,12.96,5.02,3.15,23.55,32.1,1.79,Daba RC I
